Edad;Liga;A1;A2;A3;NS1;NS2;NS3;CCP1;CCP2;CCP3;I1;I2;I3;SC1;SC2;SC3;SC4;SC5;SC6;SC7;SC8;AB1;AB2;AB3;AB4;AB5;SL1;SL2;SL3;SL4;SL5;AD1;AD2;AD3;AD4;AD5
15;0;7;7;7;7;5;7;5;5;6;6;7;7;7;7;7;7;7;7;7;7;5;6;6;6;6;5;5;4;4;5;7;7;7;7;7
19;1;7;7;7;7;7;7;7;5;6;7;7;7;5;7;2;5;3;5;3;4;3;2;3;1;2;5;2;1;1;4;2;3;2;3;2
16;0;7;7;7;7;7;7;6;7;7;5;7;7;4;5;6;7;6;7;7;7;7;7;7;7;7;7;4;4;4;4;7;7;7;7;7
31;0;1;1;1;1;1;1;1;1;1;1;1;1;6;6;6;5;6;5;6;5;2;2;4;3;5;5;4;2;4;3;2;6;6;1;6
15;0;6;5;6;6;6;7;5;7;5;4;6;5;4;6;5;6;6;6;5;7;7;7;7;7;7;6;6;3;5;4;6;6;6;6;6
17;1;6;6;7;7;7;7;7;4;5;3;4;4;6;7;7;7;5;7;7;6;3;3;2;1;4;7;6;3;3;5;6;7;7;6;6
16;1;7;7;6;7;6;7;5;5;5;7;7;7;3;3;4;3;5;2;3;4;6;6;6;3;3;4;1;1;1;5;7;7;5;7;7
16;1;7;7;7;7;7;7;6;7;5;6;7;7;6;7;7;7;6;7;7;6;6;5;7;7;7;7;6;6;7;5;7;7;7;7;7
17;1;7;7;7;7;7;7;5;5;5;6;7;7;6;7;7;4;5;7;4;1;4;7;7;7;7;7;7;1;1;2;1;7;7;1;7
16;1;7;7;4;7;5;7;5;7;7;4;6;6;6;7;7;5;2;5;6;4;6;7;7;7;7;6;7;5;6;5;7;7;7;7;7
29;1;5;5;7;5;5;5;7;7;6;1;1;1;4;3;2;5;2;3;3;6;1;1;2;2;2;6;6;1;6;5;7;3;3;6;2
20;1;6;5;5;7;5;7;4;5;4;1;4;4;7;6;6;7;4;7;3;5;4;3;2;3;2;5;2;1;3;5;3;3;4;3;1
21;1;6;6;7;6;2;2;5;5;5;3;3;3;4;4;4;4;4;4;4;4;5;5;4;3;2;2;2;2;2;6;2;4;4;4;4
15;1;6;6;7;7;6;6;4;5;5;5;4;4;7;4;2;5;3;7;3;5;5;6;5;3;5;7;4;1;3;3;5;6;4;5;7
29;1;5;6;5;7;4;6;4;6;5;4;4;4;4;7;4;4;4;4;4;4;7;7;7;7;7;5;7;7;7;4;4;7;7;4;1
24;1;7;6;7;7;7;7;4;5;3;3;3;3;6;6;6;6;6;6;6;7;7;6;7;6;5;6;6;2;2;4;2;3;3;1;1
15;1;7;7;7;7;4;4;3;4;3;7;7;7;1;3;2;1;5;2;1;4;4;3;4;4;4;5;4;1;1;1;7;7;5;7;5
14;1;6;6;7;4;5;4;6;7;6;6;6;6;5;7;4;5;2;5;6;3;3;6;6;5;6;3;4;2;3;3;5;4;6;3;5
17;1;7;7;7;7;7;7;6;7;7;7;7;7;2;2;2;2;2;2;2;1;7;7;7;7;7;6;5;2;4;6;7;7;7;7;7
33;0;7;7;7;7;7;7;6;4;7;5;7;7;5;5;5;6;2;4;5;4;6;5;3;3;4;7;5;2;5;5;6;5;2;5;2
26;0;7;7;7;7;7;7;7;5;5;7;7;7;7;7;7;6;7;6;7;7;6;6;6;6;6;5;4;2;5;6;7;7;6;6;6
19;0;7;7;7;7;6;7;5;4;4;6;7;7;6;5;5;6;5;4;6;7;3;2;5;4;4;7;4;1;1;4;7;7;6;7;7
15;1;7;7;7;7;7;7;5;7;6;7;7;7;7;7;7;7;7;7;7;7;5;7;7;7;7;7;7;7;7;6;7;7;7;7;7
31;0;5;7;7;7;7;7;5;3;3;5;7;7;7;7;7;6;6;7;6;6;6;6;6;6;6;7;6;6;6;6;7;7;7;7;7
18;1;7;7;7;7;7;7;6;7;4;7;7;7;6;5;7;7;6;7;6;7;6;7;7;7;7;7;4;2;5;5;7;7;7;4;7
24;1;7;7;7;7;7;7;7;7;7;7;7;7;4;7;5;6;7;7;7;6;7;6;7;7;5;7;7;7;7;7;7;7;7;7;3
23;1;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;7;7;7;7;7;7;7;7;7;7
28;1;7;7;7;7;7;7;6;6;6;7;7;7;6;6;6;7;7;7;6;7;6;6;6;6;6;7;1;3;7;7;6;6;6;6;5
14;0;6;5;6;6;6;6;4;7;5;5;6;7;6;7;7;7;7;6;7;7;6;6;7;7;7;6;7;5;7;5;7;7;7;7;4
29;1;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6
28;1;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;5;5;6;6;5;7;7;4;5;7;5;5;5;5;6
14;0;6;6;6;6;6;6;5;7;7;5;5;6;6;7;7;7;7;7;7;7;6;6;6;7;7;6;7;2;7;1;7;7;7;7;7
26;1;7;7;7;7;7;7;7;7;6;7;7;7;7;5;6;6;6;6;6;7;6;6;6;6;6;7;1;7;7;7;7;7;7;7;7
27;1;7;7;7;7;7;7;6;6;6;7;7;7;6;6;6;6;6;7;5;7;5;4;4;4;5;7;7;5;6;7;6;7;7;7;7
22;1;7;7;7;7;7;7;7;6;6;7;7;7;7;1;6;7;6;7;7;7;5;6;6;6;6;7;7;6;7;7;7;7;7;7;7
20;1;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;5;6;6;5;5;7;6;7;7;7;7;7;7;7;7
19;1;7;7;7;7;6;7;6;6;5;6;7;7;6;5;6;6;6;6;6;7;6;6;6;6;6;5;5;5;6;5;7;7;7;7;7
24;1;7;7;7;7;7;7;7;6;6;7;7;7;6;7;7;6;6;6;6;7;3;3;3;3;3;7;7;7;7;7;7;7;7;7;7
23;1;7;7;7;7;7;7;6;7;7;7;7;7;6;7;7;7;7;6;7;6;4;3;6;4;4;7;6;1;4;2;7;7;4;4;2
27;1;6;7;6;7;7;6;4;5;4;5;5;5;6;6;6;6;6;5;6;6;4;4;5;3;5;7;7;3;7;5;6;6;5;6;5
